,DestRaw,Dest,geocoder_results,latlong
0,NEW YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
1,NEW-ORLEANS-LA,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
2,NEW-ORLEANS,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
3,USA,USA,<[OK] Google - Geocode [United States]>,"[37.09024, -95.712891]"
4,PHILADELPHIA,"PHILADELPHIA, PA","<[OK] Google - Geocode [Philadelphia, PA, USA]>","[39.9525839, -75.1652215]"
5,BOSTON,"BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","[42.3600825, -71.0588801]"
6,CHICAGO,"CHICAGO, IL","<[OK] Google - Geocode [Chicago, IL, USA]>","[41.8781136, -87.6297982]"
7,KANSAS,KANSAS,"<[OK] Google - Geocode [Kansas, USA]>","[39.011902, -98.4842465]"
8,NEW ORLEANS,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
9,TEXAS,TEXAS,"<[OK] Google - Geocode [Texas, USA]>","[31.9685988, -99.9018131]"
10,SAN FRANCISCO,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
11,BUFFALO,"BUFFALO, NY","<[OK] Google - Geocode [Buffalo, NY, USA]>","[42.88644679999999, -78.8783689]"
12,ALABAMA,ALABAMA,"<[OK] Google - Geocode [Alabama, USA]>","[32.3182314, -86.902298]"
13,NEW YROK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
14,SAN LOUIS,"SAINT LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
15,LOUISIANA,LOUISIANA,"<[OK] Google - Geocode [Louisiana, USA]>","[30.9842977, -91.96233269999999]"
16,PITTSBURG PA,"PITTSBURG, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
17,BUFFALO NY,"BUFFALO, NY","<[OK] Google - Geocode [Buffalo, NY, USA]>","[42.88644679999999, -78.8783689]"
18,CHICAGO IL,"CHICAGO, IL","<[OK] Google - Geocode [Chicago, IL, USA]>","[41.8781136, -87.6297982]"
19,WESTERLEY RI,"WESTERLY, RI","<[OK] Google - Geocode [Westerly, RI, USA]>","[41.3775987, -71.82728709999999]"
20,BROOKLYN,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
21,HOUSTON-TX,"HOUSTON, TX","<[OK] Google - Geocode [Houston, TX, USA]>","[29.7604267, -95.3698028]"
22,ELEONORE-PA,"ELEANOR, PA","<[OK] Google - Geocode [185 Walton Dr, Morrisville, PA 19067, USA]>","[40.2006537, -74.8265371]"
23,BROOKLYN NY,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
24,MINNEAPOLIS,"MINNEAPOLIS, MN","<[OK] Google - Geocode [Minneapolis, MN, USA]>","[44.977753, -93.2650108]"
25,BOSTON-MA,"BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","[42.3600825, -71.0588801]"
26,PITTSBURG,"PITTSBURG, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
27,ALTONA,ALTONA,"<[OK] Google - Geocode [Altona, CO 80302, USA]>","[40.13339999999999, -105.282494]"
28,ROCHESTER,"ROCHESTER, NY","<[OK] Google - Geocode [Rochester, NY, USA]>","[43.15657789999999, -77.6088465]"
29,ROCHESTER-NY,"ROCHESTER, NY","<[OK] Google - Geocode [Rochester, NY, USA]>","[43.15657789999999, -77.6088465]"
30,NORRISTOWN,NORRISTOWN,"<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
31,NEW ORLEANS LA,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
32,SAVANNAH GA.,"SAVANNAH, GA","<[OK] Google - Geocode [Savannah, GA, USA]>","[32.0808989, -81.091203]"
33,BUFALO,"BUFFALO, NY","<[OK] Google - Geocode [Buffalo, NY, USA]>","[42.88644679999999, -78.8783689]"
34,SERANTON PA,"SERANTON, PA","<[OK] Google - Geocode [Scranton, PA, USA]>","[41.408969, -75.66241219999999]"
35,NEW-YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
36,DELANCY-PA,"DE LANCY, PA","<[OK] Google - Geocode [De Lancy, PA, USA]>","[40.9865811, -78.96023199999999]"
37,SAINT LOUIS MO,"SAINT LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
38,ST LOUIS MA,ST LOUIS MO,"<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
39,MT,MT,"<[OK] Google - Geocode [Montana, USA]>","[46.8796822, -110.3625658]"
40,BUFFALO-NY,"BUFFALO, NY","<[OK] Google - Geocode [Buffalo, NY, USA]>","[42.88644679999999, -78.8783689]"
41,ROCKLAND,ROCKLAND,"<[OK] Google - Geocode [Rockland, MA, USA]>","[42.1306563, -70.9161551]"
42,BRYAN-TX,"BRYAN, TX","<[OK] Google - Geocode [Bryan, TX, USA]>","[30.6743643, -96.3699632]"
43,BOSTON MA,"BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","[42.3600825, -71.0588801]"
44,BALTIMORE,"BALTIMORE, MD","<[OK] Google - Geocode [Baltimore, MD, USA]>","[39.2903848, -76.6121893]"
45,BRIAN-TX,"BRIAN, TX","<[OK] Google - Geocode [Bryan, TX, USA]>","[30.6743643, -96.3699632]"
46,N.ORLEANS,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
47,PHILADELPHIA PA,"PHILADELPHIA, PA","<[OK] Google - Geocode [Philadelphia, PA, USA]>","[39.9525839, -75.1652215]"
48,KANSAS CITY KS,"KANSAS CITY, KS","<[OK] Google - Geocode [Kansas City, KS, USA]>","[39.11553139999999, -94.62678729999999]"
49,PROVIDENCE RI,"PROVIDENCE, RI","<[OK] Google - Geocode [Providence, RI, USA]>","[41.8239891, -71.4128343]"
50,CAN,CANADA,<[OK] Google - Geocode [Canada]>,"[56.130366, -106.346771]"
51,ST. LOUIS MO.,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
52,CALIFORNIA,CALIFORNIA,"<[OK] Google - Geocode [California, USA]>","[36.778261, -119.4179324]"
53,NEW ARK NJ,"NEW ARK, NJ","<[OK] Google - Geocode [Newark, NJ, USA]>","[40.735657, -74.1723667]"
54,AUSINIA,AUSINIA,"<[OK] Google - Geocode [Ansonia, CT, USA]>","[41.34620779999999, -73.07899689999999]"
55,NEWHAVEN,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","[41.308274, -72.9278835]"
56,SAN-FRANCISCO,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
57,PROVIDENCE,"PROVIDENCE, RI","<[OK] Google - Geocode [Providence, RI, USA]>","[41.8239891, -71.4128343]"
58,TRINIDAD CO,"TRINIDAD, CO","<[OK] Google - Geocode [Trinidad, CO 81082, USA]>","[37.1694632, -104.5005407]"
59,ELEONOR-PA,"ELEANOR, PA","<[OK] Google - Geocode [185 Walton Dr, Morrisville, PA 19067, USA]>","[40.2006537, -74.8265371]"
60,KOBOKEN,"HOBOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","[40.7439905, -74.0323626]"
61,PASSAIC NJ,"PASSAIC, NJ","<[OK] Google - Geocode [Passaic, NJ, USA]>","[40.8567662, -74.1284764]"
62,PHILADELPHIA-PA,"PHILADELPHIA, PA","<[OK] Google - Geocode [Philadelphia, PA, USA]>","[39.9525839, -75.1652215]"
63,MIDDLETOWN,MIDDLETOWN,"<[OK] Google - Geocode [Middletown, CT, USA]>","[41.5623209, -72.6506488]"
64,PA,PA,"<[OK] Google - Geocode [Pennsylvania, USA]>","[41.2033216, -77.1945247]"
65,PHILA,"PHILADELPHIA, PA","<[OK] Google - Geocode [Philadelphia, PA, USA]>","[39.9525839, -75.1652215]"
66,LAKE CHARLES LA,"LAKE CHARLES, LA","<[OK] Google - Geocode [Lake Charles, LA, USA]>","[30.2265949, -93.2173758]"
67,DUNKIRK NJ,"DUNKIRK, NY","<[OK] Google - Geocode [Dunkirk, NY 14048, USA]>","[42.4795019, -79.3339324]"
68,SYRACUSE,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","[43.0481221, -76.14742439999999]"
69,SYRACUSO NY,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","[43.0481221, -76.14742439999999]"
70,BRYAN TX,"BRYAN, TX","<[OK] Google - Geocode [Bryan, TX, USA]>","[30.6743643, -96.3699632]"
71,CHICAGO-IL,"CHICAGO, IL","<[OK] Google - Geocode [Chicago, IL, USA]>","[41.8781136, -87.6297982]"
